paper_id,assigned_agent
5263560367586976246,9
6785612181231565769,10
2730221948405730068,11
3382164174043790711,12
259391721561967316,13
5939178621969844352,14
9144884645791103019,15
7640897835176775036,16
8860747422089733836,17
263561550987285071,18
8927379962064983548,19
662263273990309953,20
9012743947472818256,21
6294292349448832259,22
1864847084202312157,23
6238386950667538428,1
9218195402512325218,2
8229256200606714368,3
6499593389272194854,4
2017765153115571110,5
7490515010643091687,6
1791007196094639901,7
7899453866567933124,8
7753522501923843245,9
136342900802933551,10
115772545139737857,11
paper:2441654152857921599,12
8197654955444307291,13
3263596525152718841,14
7153633365338612044,15
3497703326437411280,16
8907449749865847396,17
8747301481994907122,18
151255766521441384,19
1962217789353986828,20
393447688706701385,21
5283274890576042047,22
3445247690461855561,23
2451519550743043878,1
3637747461730837151,2
3628189407148691178,3
5577299062231098728,4
4886363718288638851,5
890527196104452219,6
2097186268885686044,7
8386212244020225230,8
7500726365091736585,9
3159983037217565212,10
4575419425187317044,11
2340210583996221739,12
8293725161428362144,13
7502581569240603993,14
3066508447900552558,15
4064768326119906230,16
3270426112587894525,17
3716470670973504180,18
4506601892834450895,19
9177697807284802082,20
3923853301097914783,21
3182869995135584847,22
474794768719116827,23
8895124055942280057,1
6419517550586514846,2
3844729635549653255,3
7619412427832319174,4
paper:4523262488328352977,5
2198198917261368994,6
2853103009348341856,7
5566195296376458074,8
7446765129651256717,9
4991365383903781939,10
8515808022907311701,11
3167665712883986549,12
paper:208829345831533423,13
7131280287893412190,14
7068350801447590111,15
2372249564863941971,16
5094183389523149378,17
7564030652971480721,18
921083727270268951,19
7501651985129205653,20
2558149849464805174,21
8005520742872881824,22
5491073106416328512,23
2191557420340195570,1
8272105184171087616,2
3706060634869371683,3
8838325920596574646,4
4070106857344761341,5
6401906036644841335,6
2199713408088641328,7
1044046460730200155,8
paper:2883908745751492350,9
9118022028318900073,10
paper:3191248673191181099,11
8703673973268192161,12
15855220806060801,13
8712523804497733235,14
1953367332532727378,15
3794225775088989514,16
7768505188083071770,17
4787030709133370204,18
514293747258716012,19
3742414908498763526,20
5675170532922735442,21
5135784176408680633,22
6417596044333380854,23
paper:1949942817381172902,1
7768779951787493899,2
4602234803954384178,3
5249385357917647408,4
2159917747424053347,5
3329814612201245462,6
7091995957273612236,7
6843881366901417562,8
paper:1843100135047435983,9
6250509982460973654,10
7556241613272110970,11
1458446883062157143,12
1446593011478687577,13
8830959282870358334,14
9029389067145514010,15
9031226351075876141,16
7747467360638555274,17
7690300414635051696,18
5761365593118356105,19
6415149500733291723,20
5940446443785024773,21
4750432914262057927,22
8841935517944597632,23
2742337588664756215,1
8872547048161914968,2
2562121241489670564,3
8188321816755114179,4
paper:8716837265081130831,5
7544990966187499063,6
5725436716286451298,7
5730221790891479445,8
5072644568159972777,9
6390761097948818872,10
5040276007414220243,11
6860162365178148715,12
129553613122336512,13
7626502141917090167,14
3322290286972497241,15
7799459892361337103,16
paper:3032223792504955207,17
1378957465983574935,18
7197996388790055055,19
2775159188427758488,20
7760238320497540606,21
4110931739643358331,22
5976533629805243516,23
6836670341910716800,1
7485814310455548123,2
8483206557757142116,3
6154343074503817817,4
paper:7144276234921142186,5
1042685990571360887,6
2164268087201720550,7
2794270657814811074,8
3325589860792198101,9
1651987172922293113,10
8889269536884780073,11
314904029621309213,12
4598003197670268429,13
2235791488810644820,14
1283543166216154635,15
4926759496811650546,16
8112548184577362104,17
5928007629758993501,18
967986658667265628,19
1450766783386017769,20
paper:3193814831402808307,21
7958127329840344829,22
1857510153281341040,23
578543934030445797,1
1711437796549922138,2
5822096696569915980,3
2702300622065092087,4
59477051859945183,5
3179306111713615406,6
3177472126318137908,7
paper:1285248416512278636,8
4799217209381182002,9
8074822915594969163,10
5013277687681955129,11
4418501308535769853,12
3877591065627390523,13
7223458891594377732,14
488068363468422015,15
2961084991260549324,16
2763536345297066997,17
2597648626728000653,18
4165841275633391396,19
6029622374539337615,20
7306647063185178752,21
1851227707938113907,22
4751591944980218663,23
323961973431496472,1
2317788909649992327,2
5888420114703595077,3
2318330897359775204,4
paper:2316498011475925917,5
9015489180174796944,6
7768404463793610992,7
3670239674297794788,8
7320520422454382784,9
paper:401178272240727394,10
2334916860060130719,11
5534031768320023117,12
4802289584362832861,13
2158473155157600649,14
1129577662761466954,15
7471370614496204862,16
8117542603110549527,17
7952613658681093950,18
6080234596721161276,19
5484583006319109269,20
9069292778363288874,21
3144803164238146682,22
8120375891789958659,23
6312307086210867170,1
7191295012736576310,2
421067556982099514,3
425846034517358395,4
3704016759340838714,5
5695011353605630708,6
5692064662442592903,7
6460543488756214940,8
8446644156764785898,9
4042090735264414775,10
1959673439136639858,11
paper:2243346262540527032,12
1591404036902466389,13
5701131072801358229,14
5704926586941185701,15
7011629086519844105,16
911032800681776325,17
paper:2053643302056779038,18
paper:1393105094511067822,19
3224530826810800039,20
7091526379634452796,21
paper:5292328926121544550,22
4113840477483214706,23
4115822896948500689,1
6239140313018226750,2
7517288702547910304,3
4708546600465757063,4
4055753352827650331,5
148249198443564677,6
6894040007058686768,7
2809568808606042733,8
7915594193979938271,9
6017560110960776984,10
6704671353461075903,11
5029735813845982863,12
5678736845879146756,13
paper:3247876103665445381,14
310859582799769930,15
4766139000239976698,16
4114198973625172477,17
3756507520974676869,18
4947395162241882235,19
